Date,Open,High,Low,Close,Volume
11-Feb-02,1096.22,1112.01,1094.68,1111.94,11594000
8-Feb-02,1080.17,1096.30,1079.91,1096.22,13719000
7-Feb-02,1083.51,1094.03,1078.44,1080.17,14416000
6-Feb-02,1090.02,1093.58,1077.78,1083.51,16658000
5-Feb-02,1094.44,1100.96,1082.58,1090.02,17783000
4-Feb-02,1122.20,1122.20,1092.25,1094.44,14376000
1-Feb-02,1130.20,1130.20,1118.51,1122.20,13672000
31-Jan-02,1113.57,1130.21,1113.30,1130.20,15570000
30-Jan-02,1100.64,1113.79,1081.66,1113.57,20196000
29-Jan-02,1133.06,1137.47,1098.74,1100.64,18120000
28-Jan-02,1133.28,1138.63,1126.66,1133.06,11868000
25-Jan-02,1132.15,1138.31,1127.82,1133.28,13451000
24-Jan-02,1128.18,1139.50,1128.18,1132.15,15528000
23-Jan-02,1119.31,1131.94,1117.43,1128.18,14792000
22-Jan-02,1127.58,1135.26,1117.91,1119.31,13116000
18-Jan-02,1138.88,1138.88,1124.45,1127.58,13333000
17-Jan-02,1127.57,1139.27,1127.57,1138.88,13801000
16-Jan-02,1146.19,1146.19,1127.49,1127.57,14825000
15-Jan-02,1138.41,1148.81,1136.88,1146.19,13869000
14-Jan-02,1145.60,1145.60,1138.15,1138.41,12864000
11-Jan-02,1156.55,1159.41,1145.45,1145.60,12119000
10-Jan-02,1155.14,1159.93,1150.85,1156.55,12990000
9-Jan-02,1160.71,1174.26,1151.89,1155.14,14520000
8-Jan-02,1164.89,1167.60,1157.46,1160.71,12588000
7-Jan-02,1172.51,1176.97,1163.55,1164.89,13083000
4-Jan-02,1165.27,1176.55,1163.42,1172.51,15130000
3-Jan-02,1154.67,1165.27,1154.01,1165.27,13989000
2-Jan-02,1148.08,1154.67,1136.23,1154.67,11710000
31-Dec-01,1161.02,1161.16,1148.04,1148.08,9436000
28-Dec-01,1157.13,1164.64,1157.13,1161.02,9174000
27-Dec-01,1149.37,1157.13,1149.37,1157.13,8763000
26-Dec-01,1144.65,1159.18,1144.65,1149.37,7911000
24-Dec-01,1144.89,1147.83,1144.62,1144.65,4396700
21-Dec-01,1139.93,1147.46,1139.93,1144.89,16940000
20-Dec-01,1149.56,1151.42,1139.93,1139.93,14905000
19-Dec-01,1142.92,1152.44,1134.75,1149.56,14849000
18-Dec-01,1134.36,1145.10,1134.36,1142.92,13540000
17-Dec-01,1123.09,1137.30,1122.66,1134.36,12604000
14-Dec-01,1119.38,1128.28,1114.53,1123.09,13068000
13-Dec-01,1137.07,1137.07,1117.85,1119.38,15115000
12-Dec-01,1136.76,1141.58,1126.01,1137.07,14497000
11-Dec-01,1139.93,1150.89,1134.32,1136.76,13672000
10-Dec-01,1158.31,1158.31,1139.66,1139.93,12187000
7-Dec-01,1167.10,1167.10,1152.66,1158.31,12482000
6-Dec-01,1170.35,1173.35,1164.43,1167.10,14879000
5-Dec-01,1143.77,1173.62,1143.77,1170.35,17653000
4-Dec-01,1129.90,1144.80,1128.86,1144.80,13185000
3-Dec-01,1139.45,1139.45,1125.78,1129.90,12029000
30-Nov-01,1140.20,1143.57,1135.89,1139.45,13436000
29-Nov-01,1128.52,1140.40,1125.51,1140.20,13757000
28-Nov-01,1149.50,1149.50,1128.29,1128.52,14237000
27-Nov-01,1157.42,1163.38,1140.81,1149.50,12880000
26-Nov-01,1150.34,1157.88,1146.17,1157.42,11298000
23-Nov-01,1137.03,1151.05,1135.90,1150.34,4103000
21-Nov-01,1142.66,1142.66,1129.78,1137.03,10293000
20-Nov-01,1151.06,1152.45,1142.17,1142.66,13302000
19-Nov-01,1138.65,1151.06,1138.65,1151.06,13168000
16-Nov-01,1142.24,1143.52,1129.92,1138.65,13374000
15-Nov-01,1141.21,1146.46,1135.06,1142.24,14545000
14-Nov-01,1139.09,1148.28,1132.87,1141.21,14434000
13-Nov-01,1118.33,1139.14,1118.33,1139.09,13701000
12-Nov-01,1120.31,1121.71,1098.32,1118.33,9916000
9-Nov-01,1118.54,1123.02,1111.13,1120.31,10938000
8-Nov-01,1115.80,1135.75,1115.42,1118.54,15175000
7-Nov-01,1118.86,1126.62,1112.98,1115.80,14113000
6-Nov-01,1102.84,1119.73,1095.36,1118.86,13560000
5-Nov-01,1087.20,1106.72,1087.20,1102.84,12677000
2-Nov-01,1084.10,1089.63,1075.58,1087.20,11219000
1-Nov-01,1059.78,1085.61,1054.31,1084.10,13174000
31-Oct-01,1059.79,1074.79,1057.55,1059.78,13525000
30-Oct-01,1078.30,1078.30,1053.61,1059.79,12974000
29-Oct-01,1104.61,1104.61,1078.30,1078.30,11061000
26-Oct-01,1100.09,1110.61,1094.24,1104.61,12445000
25-Oct-01,1085.20,1100.09,1065.64,1100.09,13644000
24-Oct-01,1084.78,1090.26,1079.98,1085.20,13362000
23-Oct-01,1089.90,1098.99,1081.53,1084.78,13173000
22-Oct-01,1073.48,1090.57,1070.79,1089.90,11057000
19-Oct-01,1068.61,1075.52,1057.24,1073.48,12949000
18-Oct-01,1077.09,1077.94,1064.54,1068.61,12629000
17-Oct-01,1097.54,1107.12,1076.57,1077.09,14522000
16-Oct-01,1089.98,1101.66,1087.13,1097.54,12105000
15-Oct-01,1091.65,1091.65,1078.19,1089.98,10247000
12-Oct-01,1097.43,1097.43,1072.15,1091.65,13314000
11-Oct-01,1080.99,1099.16,1080.99,1097.43,17045800
10-Oct-01,1056.75,1081.62,1052.76,1080.99,13124000
9-Oct-01,1062.44,1063.37,1053.83,1056.75,12278000
8-Oct-01,1071.37,1071.37,1056.88,1062.44,9790000
5-Oct-01,1069.62,1072.35,1053.50,1071.38,13017000
4-Oct-01,1072.28,1084.12,1067.82,1069.63,16091000
3-Oct-01,1051.33,1075.38,1041.48,1072.28,16506000
2-Oct-01,1038.55,1051.33,1034.47,1051.33,12898000
1-Oct-01,1040.94,1040.94,1026.76,1038.55,11756000
28-Sep-01,1018.61,1040.94,1018.61,1040.94,16315000
27-Sep-01,1007.04,1018.92,998.24,1018.61,14670000
